VON,prob,backup,primary,fp
5, 50, 104, 104, 8213
5, 50, 109, 109, 8203
5, 50, 154, 154, 8113
5, 50, 66, 66, 8289
5, 50, 28, 28, 8365
5, 50, 91, 91, 8239
5, 50, 135, 135, 8151
5, 50, 34, 34, 8353
5, 50, 105, 105, 8211
5, 50, 112, 112, 8197
10, 50, 216, 216, 7989
10, 50, 242, 242, 7937
10, 50, 178, 178, 8065
10, 50, 140, 140, 8141
10, 50, 163, 163, 8095
10, 50, 161, 161, 8099
10, 50, 241, 241, 7939
10, 50, 194, 194, 8033
10, 50, 269, 269, 7883
10, 50, 152, 152, 8117
10, 50, 193, 193, 8035
15, 50, 314, 314, 7793
15, 50, 225, 225, 7971
15, 50, 284, 284, 7853
15, 50, 219, 219, 7983
15, 50, 351, 351, 7719
15, 50, 325, 325, 7771
15, 50, 208, 208, 8005
15, 50, 232, 232, 7957
15, 50, 251, 251, 7919
15, 50, 214, 214, 7993
15, 50, 262, 262, 7897
20, 50, 401, 401, 7619
20, 50, 377, 377, 7667
20, 50, 322, 322, 7777
20, 50, 351, 351, 7719
20, 50, 405, 405, 7611
20, 50, 501, 501, 7419
20, 50, 361, 361, 7699
20, 50, 233, 233, 7955
20, 50, 361, 361, 7699
25, 50, 417, 417, 7587
25, 50, 442, 442, 7537
25, 50, 456, 456, 7509
25, 50, 457, 457, 7507
25, 50, 461, 461, 7499
25, 50, 414, 414, 7593
25, 50, 570, 570, 7281
25, 50, 390, 390, 7641
25, 50, 328, 328, 7765
25, 50, 376, 376, 7669

